INDICATOR_ID,COUNTRY_ID,YEAR,VALUE,MAGNITUDE,QUALIFIER
700151,ESP,2015,17288919,,
700151,EST,2014,597036,,
700151,EST,2015,610377,,
700151,FIN,2014,2298700,,
700151,FIN,2015,2283959,,
700151,FRA,2014,25573687,,
700151,FRA,2015,25641575,,
700151,GHA,2014,11497479,,
700151,GRC,2015,3486500,,
700151,HND,2010,2998093,,
700151,HND,2015,3324668.70999,,
700151,HRV,2015,1519343,,
700151,HUN,2014,3961524,,
700151,HUN,2015,4064820.17628,,
700151,ISL,2015,175300,,
700151,ISR,2014,3416116,,
700151,ITA,2014,21376236,,
700151,ITA,2015,21565642,,
700151,KOR,2014,23952000,,
700151,KOR,2015,24112000,,
700151,LKA,2015,7333436.83547,,
700151,LTU,2014,1268094,,
700151,LTU,2015,1278013,,
700151,LUX,2014,218940,,
700151,LUX,2015,229428,,
700151,LVA,2014,835700,,
700151,LVA,2015,848500,,
700151,MAC,2014,380400,,
700151,MAC,2015,389100,,
700151,MDA,2014,1139528,,
700151,MDA,2015,1132859,,
700151,MDV,2014,132593,,
700151,MEX,2014,47110453,,
700151,MEX,2015,48032568,,
700151,MKD,2014,658501.40000,,
700151,MKD,2015,675674,,
700151,MLI,2014,5004468.87639,,
700151,MLI,2015,5339656,,
700151,MLT,2014,171075,,
700151,MLT,2015,177895,,
700151,MNG,2014,1075696,,
700151,MNG,2015,1088589,,
700151,MOZ,2014,9677984,,
700151,MYS,2014,13195100,,
700151,MYS,2015,13660900,,
700151,NIC,2009,2158114,,
700151,NLD,2014,7903000,,
700151,NLD,2015,7988000,,
700151,PAK,2014,44354889,,
700151,PAK,2015,45356768,,
700151,PAN,2013,1590907,,
700151,PAN,2016,1690624,,
700151,PER,2013,15555701,,
700151,PHL,2014,37813497,,
700151,PHL,2015,37927533,,
700151,PRI,2014,1016275,,
700151,PRI,2015,998035.25000,,
700151,PRT,2014,4313229.31325,,
700151,PRT,2015,4362645.04371,,
700151,PRY,2010,2671098,,
700151,PSE,2014,908800,,
700151,PSE,2015,955000,,
700151,ROU,2014,8293012,,
700151,ROU,2015,8227783,,
700151,RUS,2014,67644809,,
700151,SLV,2013,2643305,,
700151,SRB,2014,2435527.44313,,
700151,SRB,2015,2467277.05145,,
700151,SVK,2014,2271400,,
700151,SVK,2015,2335900,,
700151,SVN,2014,757518,,
700151,SVN,2015,759838,,
700151,SVN,2016,778749,,
700151,SWE,2014,4587560,,
700151,SWE,2015,4652025,,
700151,SXM,2013,18667,,
700151,SYC,2012,0,NA,
700151,TGO,2015,1308798,,
700151,THA,2014,37018183,,
700151,THA,2015,36927101.83190,,
700151,TUR,2014,24747592,,
700151,TUR,2015,25424684.85000,,
700151,UGA,2012,13769134.42000,,
700151,URY,2013,1587822,,
700151,VNM,2014,50155900,,
700151,VNM,2015,50405400,,
700151,ZAF,2014,14933101.38180,,
700152,AGO,2014,62.30400,,
700152,ARG,2016,269018.70039,,
700152,ARM,2014,84851,,
700152,ARM,2015,19516.43007,,
700152,AUT,2014,114400,,
700152,AUT,2015,116600,,
700152,BEL,2014,117040,,
700152,BEL,2015,118398,,
700152,BGR,2014,59300,,
700152,BGR,2015,65300,,
700152,BIH,2014,37852,,
700152,BIH,2015,32645.47095,,
700152,BMU,2010,1188,,
700152,BOL,2011,106752,,
700152,BOL,2015,184595,,
700152,BRN,2014,4468.58935,,
700152,CAN,2015,549400,,
700152,CHE,2014,141229,,
700152,CHL,2013,140999,,
700152,COL,2015,237024,,
700152,CPV,2015,2189,,
700152,CRI,2015,36560,,
700152,CYM,2016,1033,,
700152,CZE,2014,130597,,
700152,CZE,2015,143588,,
700152,DEU,2015,1695700,,
700152,DNK,2013,66775,,
700152,DNK,2014,67334.55000,,
700152,DOM,2013,24893,,
700152,ECU,2013,4198,,
700152,ECU,2015,182744.10600,,
700152,ESP,2014,516616,,
700152,ESP,2015,534500,,
700152,EST,2014,27339,,
700152,EST,2015,30671,,
700152,FIN,2014,107600,,
700152,FIN,2015,126398,,
700152,FRA,2014,673318,,
700152,FRA,2015,649189,,
700152,GHA,2014,275415,,
700152,GRC,2015,80600,,
700152,HND,2010,38211,,
700152,HND,2015,98766.97846,,
700152,HRV,2015,89758,,
700152,HUN,2014,99423,,
700152,HUN,2015,109466,,
700152,ISL,2015,11600,,
700152,ISR,2014,110344,,
700152,ITA,2014,535793,,
700152,ITA,2015,540323,,
700152,KOR,2014,718000,,
700152,KOR,2015,729000,,
700152,LKA,2015,100302.72562,,
700152,LTU,2014,40541,,
700152,LTU,2015,39735,,
700152,LUX,2014,7304,,
700152,LUX,2015,6092,,
700152,LVA,2014,40100,,
700152,LVA,2015,39000,,
700152,MAC,2014,12700,,
700152,MAC,2015,13100,,
700152,MDA,2014,15016,,
700152,MDA,2015,16770,,
700152,MDV,2014,4781,,
700152,MEX,2014,3396460,,
700152,MEX,2015,3456965,,
700152,MKD,2014,12215.92000,,
700152,MKD,2015,10828,,
700152,MLI,2014,154541.61300,,
700152,MLI,2015,140466,,
700152,MLT,2014,9017,,
700152,MLT,2015,7651,,
700152,MNG,2014,16136,,
700152,MNG,2015,30895,,
700152,MOZ,2014,20828,,
700152,MYS,2014,176900,,
700152,MYS,2015,190200,,
700152,NIC,2009,17251,,
700152,NLD,2014,231000,,
700152,NLD,2015,238000,,
700152,PAK,2014,611652,,
700152,PAK,2015,724268,,
700152,PAN,2013,20483,,
700152,PAN,2016,17362,,
700152,PER,2013,197567,,
700152,PHL,2014,477456,,
700152,PHL,2015,494610,,
700152,PRI,2014,31862,,
700152,PRI,2015,25249.65000,,
700152,PRT,2014,112347.54717,,
700152,PRT,2015,125908.30193,,
700152,PRY,2010,32104,,
700152,PSE,2014,15900,,
700152,PSE,2015,22100,,
700152,ROU,2014,91239,,
700152,ROU,2015,87061,,
700152,RUS,2014,2659455,,
700152,SLV,2013,20654,,
700152,SRB,2014,84847.57216,,
700152,SRB,2015,71367.27287,,
700152,SVK,2014,41900,,
700152,SVK,2015,41000,,
700152,SVN,2014,49366,,
700152,SVN,2015,50023,,
700152,SVN,2016,51039,,
700152,SWE,2014,156800,,
700152,SWE,2015,158995,,
700152,SXM,2013,205.84880,,
700152,SYC,2012,0,NA,
700152,TGO,2015,17161,,
700152,THA,2014,675289.56430,,
700152,THA,2015,672356.84130,,
700152,TUR,2014,691009,,
700152,TUR,2015,748502.54000,,
700152,UGA,2012,147347.42000,,
700152,URY,2013,28840,,
700152,VNM,2014,522200,,
700152,VNM,2015,549900,,
700153,AGO,2014,5442622.94400,,
700153,ARG,2016,11059391.29961,,
700153,ARM,2014,1048690,,
700153,ARM,2015,1053125.91733,,
700153,AUT,2014,3998400,,
700153,AUT,2015,4031700,,
700153,BEL,2014,4426507,,
700153,BEL,2015,4433221,,
700153,BGR,2014,2922100,,
700153,BGR,2015,2966500,,
700153,BIH,2014,774179,,
700153,BIH,2015,788866.58172,,
700153,BMU,2010,35478,,
700153,BOL,2011,4892565,,
700153,BOL,2015,4714193,,
700153,BRN,2014,185103.97621,,
700153,CAN,2015,17397200,,
700153,CHE,2014,4393309,,
700153,CHL,2013,7136760,,
700153,COL,2015,21557664,,
700153,CPV,2015,192258,,
700153,CRI,2015,2026557,,
700153,CYM,2016,39378,,
700153,CZE,2014,4843628,,
700153,CZE,2015,4897214,,
700153,DEU,2015,38583300,,
700153,DNK,2013,2404880,,
700153,DNK,2014,2435697.45000,,
